epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1049.08,0.79134,0.47093,0.0056,0.94728,0.91033,0.96789,0.77958,0.78628,0.38008,0.00764,0.000359409,0.000359409,0.000359409
43,1073.54,0.79627,0.48539,0.00576,0.94315,0.92252,0.9689,0.78505,0.77263,0.37476,0.00758,0.000341077,0.000341077,0.000341077
44,1098.57,0.78522,0.4703,0.00547,0.92052,0.95092,0.96773,0.78327,0.79201,0.36595,0.00784,0.000322745,0.000322745,0.000322745
45,1123.16,0.78547,0.45841,0.00568,0.91395,0.93284,0.96758,0.77357,0.81925,0.3834,0.00811,0.000304414,0.000304414,0.000304414
46,1149.14,0.79805,0.47076,0.00562,0.92683,0.93987,0.9679,0.78939,0.80402,0.36657,0.00795,0.000286083,0.000286083,0.000286083
47,1173.21,0.79705,0.45693,0.00559,0.95883,0.91777,0.96773,0.77967,0.80353,0.36711,0.00781,0.000267751,0.000267751,0.000267751
48,1198.39,0.78164,0.46117,0.00547,0.94889,0.91535,0.96828,0.7884,0.77592,0.36696,0.00769,0.00024942,0.00024942,0.00024942
49,1223.91,0.78033,0.45639,0.00574,0.91234,0.93958,0.96664,0.78382,0.78166,0.36812,0.00764,0.000231088,0.000231088,0.000231088
50,1248.42,0.76359,0.45422,0.00545,0.91868,0.93532,0.96837,0.782,0.78643,0.36753,0.00775,0.000212757,0.000212757,0.000212757
51,1277.68,0.72792,0.44817,0.00616,0.94508,0.91217,0.96739,0.7815,0.79944,0.37734,0.00794,0.000194425,0.000194425,0.000194425
52,1302.15,0.71668,0.43327,0.00612,0.90656,0.95034,0.96565,0.77682,0.794,0.40217,0.00782,0.000176094,0.000176094,0.000176094
53,1327.49,0.7099,0.42778,0.00601,0.95794,0.90194,0.97216,0.77724,0.81655,0.39032,0.00799,0.000157762,0.000157762,0.000157762
54,1350.65,0.68399,0.41071,0.00586,0.94101,0.89998,0.96996,0.7818,0.80711,0.38411,0.00798,0.000139431,0.000139431,0.000139431
55,1376.41,0.68502,0.39637,0.00574,0.93948,0.94129,0.96939,0.78153,0.79929,0.36671,0.00791,0.000121099,0.000121099,0.000121099
56,1400.07,0.69405,0.39786,0.00551,0.92926,0.93174,0.96733,0.77694,0.80221,0.37975,0.00791,0.000102768,0.000102768,0.000102768
57,1424.19,0.67778,0.38695,0.00568,0.92052,0.92764,0.96514,0.777,0.80804,0.38631,0.00799,8.4436e-05,8.4436e-05,8.4436e-05
58,1448.71,0.68661,0.3905,0.00575,0.89005,0.93892,0.96324,0.77432,0.80232,0.39344,0.00795,6.61045e-05,6.61045e-05,6.61045e-05
59,1474.32,0.66917,0.38759,0.00572,0.89162,0.94039,0.96283,0.77127,0.80234,0.3926,0.00789,4.7773e-05,4.7773e-05,4.7773e-05
60,1497.62,0.66075,0.38046,0.0056,0.90178,0.942,0.96394,0.77271,0.80001,0.38872,0.00786,2.94415e-05,2.94415e-05,2.94415e-05
